frame_number,track_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
0,106.0,[695.9896850585938 594.732421875 1119.3829345703125 1025.6331787109375],[122.5692367553711 190.58416748046875 265.4967956542969 239.34393310546875],0.6827396154403687,KE64GYD,0.35771637515536947
1,106.0,[687.34521484375 589.7232055664062 1105.0595703125 1019.3514404296875],[130.0875244140625 195.93833923339844 272.6592102050781 242.36102294921875],0.7688677906990051,KE64GYI,0.26201794646550985
2,106.0,[683.3295288085938 587.2522583007812 1101.0794677734375 1016.9678955078125],[135.87770080566406 197.5485076904297 277.46551513671875 243.14564514160156],0.760240375995636,KE64GYM,0.44152190014313375
3,106.0,[680.2205810546875 585.1740112304688 1099.5267333984375 1017.3251953125],[140.26438903808594 199.22853088378906 279.6613464355469 244.64503479003906],0.7569454908370972,KE64GYM,0.44212428543161825
4,106.0,[679.1309204101562 584.743408203125 1098.9664306640625 1017.8272705078125],[140.6848907470703 200.08656311035156 281.0004577636719 245.89212036132812],0.754050076007843,KE64GYM,0.46007960059132197
5,106.0,[680.3372192382812 583.3607788085938 1101.201416015625 1017.7088012695312],[138.3977508544922 199.66893005371094 281.9137268066406 247.5410614013672],0.7550725340843201,KE64GYM,0.2744211781727351
6,106.0,[680.9660034179688 581.817138671875 1102.30078125 1018.087646484375],[137.9755401611328 201.30194091796875 282.1722412109375 248.9276123046875],0.7434067726135254,KE64CYH,0.3685943696722279
7,106.0,[681.1050415039062 580.371826171875 1103.5384521484375 1017.9942626953125],[135.89346313476562 201.8138427734375 281.83880615234375 252.2075958251953],0.7376448512077332,KE64GYR,0.47927194104944093
8,106.0,[680.66796875 580.0642700195312 1103.970703125 1018.3095703125],[136.29348754882812 201.90135192871094 283.1808166503906 250.2532196044922],0.7456977963447571,KE64GYL,0.39354350501892055
9,106.0,[679.8441162109375 580.24853515625 1104.2117919921875 1018.5359497070312],[137.28213500976562 201.90252685546875 284.3387145996094 250.5358428955078],0.7453486919403076,KE64GYM,0.3936920085918359
10,106.0,[679.53564453125 580.346923828125 1104.351318359375 1018.6776733398438],[137.3021697998047 201.8752899169922 284.3497619628906 250.5215606689453],0.7453905940055847,KE64GYM,0.3936920085918359
11,106.0,[681.4017333984375 578.7706298828125 1105.4620361328125 1018.7933349609375],[135.0328826904297 203.59042358398438 281.5769958496094 255.12062072753906],0.744614839553833,KE64GYA,0.39377014210417577
12,106.0,[680.1718139648438 578.003662109375 1105.051025390625 1019.76611328125],[135.4049072265625 204.02671813964844 282.4245910644531 255.8321533203125],0.742121696472168,KE64GYR,0.32583850864553277
13,106.0,[676.5626831054688 577.6029052734375 1104.8133544921875 1019.2466430664062],[138.58460998535156 203.25599670410156 287.191650390625 257.1614074707031],0.7447831034660339,KE64GYM,0.4512057162108189
14,106.0,[675.0145263671875 577.4789428710938 1105.1207275390625 1020.2102661132812],[139.8316650390625 203.38075256347656 288.2346496582031 257.0082702636719],0.7340413331985474,KE64GYA,0.5092981856331715
15,106.0,[674.4334106445312 577.5934448242188 1105.1929931640625 1021.440185546875],[141.35443115234375 204.79827880859375 288.98040771484375 256.6370849609375],0.7400370836257935,KE64GYN,0.39307287498968896
16,106.0,[673.7686767578125 577.6038208007812 1105.98974609375 1020.875],[141.52525329589844 203.31072998046875 291.7283935546875 257.8930358886719],0.7467072606086731,KE64GYW,0.5047060041233334
17,106.0,[672.9566040039062 576.140869140625 1107.5845947265625 1019.4686279296875],[143.01559448242188 206.2062225341797 291.79669189453125 256.5857849121094],0.7520121932029724,KE64GYQ,0.7892609748780327
18,106.0,[672.3453369140625 575.4697875976562 1108.5577392578125 1019.127197265625],[142.88633728027344 207.79989624023438 291.6100158691406 257.6806335449219],0.760033130645752,KE64GYQ,0.5972294790280537
19,106.0,[672.0841064453125 574.8793334960938 1109.063720703125 1019.4993286132812],[142.02684020996094 208.78858947753906 292.9312744140625 259.26727294921875],0.7601960301399231,KE64GYH,0.4841559274410365
20,106.0,[672.1849365234375 574.7754516601562 1109.0362548828125 1019.2376708984375],[141.96792602539062 208.74478149414062 292.98944091796875 259.38299560546875],0.7598180174827576,KE64GYH,0.726007988696401
21,106.0,[672.2076416015625 575.9140625 1109.0543212890625 1019.4841918945312],[142.78884887695312 208.23855590820312 292.8031005859375 259.5823059082031],0.7648434042930603,KE64GYQ,0.40394506535801933
22,106.0,[671.9501953125 576.2594604492188 1108.72412109375 1020.121337890625],[143.7189178466797 208.2989044189453 294.0034484863281 257.5002136230469],0.7707327008247375,KE64GYM,0.9617195988000277
23,106.0,[671.8970947265625 576.3547973632812 1108.6199951171875 1020.38818359375],[143.73446655273438 208.3974609375 294.0252380371094 257.49627685546875],0.7693179249763489,KE64GYM,0.7158938282683558
24,106.0,[670.6785278320312 576.20458984375 1109.47607421875 1021.2361450195312],[144.34884643554688 208.57223510742188 295.3568115234375 258.4107360839844],0.761083722114563,KE64GYW,0.30358132367926643
25,106.0,[670.1775512695312 576.160400390625 1109.63330078125 1021.4207153320312],[144.43894958496094 208.70582580566406 295.5609436035156 258.19482421875],0.7607269883155823,KE64GYW,0.24194464662733364
26,106.0,[669.9929809570312 575.9951782226562 1110.332275390625 1021.8109130859375],[145.5771942138672 209.70770263671875 296.92828369140625 260.6329345703125],0.7607002854347229,KE64GYW,0.6601365902810062
27,106.0,[669.9437866210938 575.9444580078125 1110.6905517578125 1021.00048828125],[145.31785583496094 209.42376708984375 297.08978271484375 260.5881042480469],0.7587875723838806,KE64GYH,0.5567174460050893
28,106.0,[669.9781494140625 575.6864013671875 1110.946533203125 1021.2890014648438],[144.9782257080078 209.74607849121094 297.3035583496094 260.61224365234375],0.7558447122573853,KE64GYM,0.6430145048619929
29,106.0,[670.1754760742188 575.4193115234375 1111.7274169921875 1021.3550415039062],[143.44593811035156 210.4952850341797 295.8435363769531 259.5577697753906],0.7605061531066895,KE64GYM,0.24477352319726137
30,106.0,[670.2684326171875 575.40771484375 1111.8856201171875 1021.2609252929688],[143.5218963623047 210.5432891845703 295.9107360839844 259.4515380859375],0.7603389024734497,KE64GYM,0.24477352319726137
31,106.0,[670.3123168945312 575.2615356445312 1112.09375 1022.01123046875],[143.2403564453125 210.0832977294922 295.7742919921875 260.4747314453125],0.7610257267951965,KE64GYW,0.3738641289069523
32,106.0,[670.4227905273438 575.2003173828125 1112.2464599609375 1022.3175048828125],[143.14556884765625 210.5687255859375 295.5927734375 260.2341003417969],0.7619131207466125,KE64GYW,0.49563420824575866
33,106.0,[670.4783325195312 575.347412109375 1112.47412109375 1022.639892578125],[142.92117309570312 210.70916748046875 295.69195556640625 260.4554138183594],0.7607719302177429,KE64GYH,0.4073110742705457
34,106.0,[670.6026000976562 575.3545532226562 1112.6915283203125 1022.8884887695312],[142.86207580566406 210.7592315673828 295.75677490234375 260.45379638671875],0.7601639032363892,KE64GYA,0.2653687726293865
35,106.0,[670.802001953125 575.1425170898438 1113.1495361328125 1022.7587890625],[144.79701232910156 211.82228088378906 295.3979187011719 261.9756774902344],0.7608574628829956,KE64GYH,0.8095397662747793
36,106.0,[670.9307861328125 575.0449829101562 1112.9884033203125 1022.5651245117188],[145.00442504882812 211.87228393554688 295.4909362792969 261.84130859375],0.7604307532310486,KE64GYH,0.6229756021666255
37,106.0,[671.0650024414062 574.9833374023438 1113.06298828125 1022.6494750976562],[143.3642578125 212.38563537597656 294.8922119140625 262.9029846191406],0.7662695646286011,KE64GYH,0.7712670008121696
38,106.0,[671.1167602539062 574.8877563476562 1113.090087890625 1022.9371948242188],[143.37173461914062 212.42794799804688 294.8860168457031 262.8861083984375],0.7666203379631042,KE64GYH,0.7733398962438027
39,106.0,[670.919189453125 574.8924560546875 1113.5064697265625 1022.1238403320312],[145.13241577148438 212.8807830810547 295.9156799316406 262.4442443847656],0.7658753395080566,KE64GYH,0.7867766833314954
40,106.0,[670.6524658203125 574.8215942382812 1113.510498046875 1021.5562133789062],[145.04917907714844 212.52093505859375 295.2315979003906 261.7798767089844],0.7668551802635193,KE64GYM,0.48634169262599203
41,106.0,[670.4589233398438 575.1405029296875 1113.3291015625 1022.0371704101562],[143.44015502929688 210.55389404296875 295.6407470703125 259.9687805175781],0.7629419565200806,KE64GYM,0.4647165552784778
42,106.0,[670.4928588867188 575.1988525390625 1113.482177734375 1021.9967651367188],[145.44610595703125 212.38027954101562 294.9989013671875 260.41583251953125],0.7659276127815247,KE64GYM,0.5633477090925502
43,106.0,[670.4196166992188 575.2739868164062 1112.8934326171875 1023.0865478515625],[144.0854034423828 211.461181640625 295.510009765625 259.9613037109375],0.7624850273132324,KE64GYH,0.863070723816396
44,106.0,[670.5830688476562 576.037841796875 1112.6114501953125 1023.221435546875],[144.0300750732422 210.5894775390625 295.47906494140625 259.7774963378906],0.7639739513397217,KE64GYH,0.33291081897512775
45,106.0,[670.44384765625 577.0628051757812 1112.5916748046875 1022.8258056640625],[145.32896423339844 211.84400939941406 294.5072326660156 259.7939147949219],0.7603343725204468,KE64GYM,0.7070906993938582
46,106.0,[670.3908081054688 577.2503662109375 1112.58837890625 1022.4832153320312],[145.34963989257812 211.84373474121094 294.4977722167969 259.7276916503906],0.7604106068611145,KE64GYM,0.7070906993938582
47,106.0,[669.985595703125 577.9100952148438 1113.2855224609375 1024.3560791015625],[144.2982940673828 212.27188110351562 296.578369140625 260.24163818359375],0.7673386931419373,KE64GYI,0.36080787492470645
48,106.0,[669.7393188476562 578.2594604492188 1113.6109619140625 1024.758056640625],[144.2420196533203 211.8738250732422 296.8857421875 259.6483154296875],0.7718451023101807,KE64GYM,0.8445268257158289
49,106.0,[669.7385864257812 578.5658569335938 1113.7001953125 1025.011474609375],[145.91140747070312 212.69737243652344 295.81414794921875 261.5240478515625],0.7687245011329651,KE64GYH,0.5733774579068506
50,106.0,[669.8195190429688 578.5961303710938 1113.6552734375 1025.0579833984375],[145.70205688476562 212.50408935546875 295.82537841796875 261.5330505371094],0.7669920921325684,KE64GYM,0.7708911363062705
51,106.0,[669.8330688476562 578.5791015625 1113.58740234375 1025.02294921875],[145.673095703125 212.6453857421875 295.82757568359375 261.5525817871094],0.7677257061004639,KE64GYM,0.6153027775586893
52,106.0,[669.714599609375 577.9411010742188 1113.4976806640625 1024.9884033203125],[144.27078247070312 212.27145385742188 296.8396911621094 260.2043762207031],0.774052619934082,KE64GYI,0.6689616086179311
52,123.0,[1224.336181640625 608.52685546875 1451.9927978515625 887.1749267578125],[112.08177185058594 134.4578857421875 181.12962341308594 163.02732849121094],0.685965359210968,AL41BHI,0.013975356143223023
53,106.0,[669.5673217773438 577.7976684570312 1113.4124755859375 1025.2398681640625],[145.89968872070312 212.7215118408203 295.74920654296875 261.726806640625],0.7672889828681946,KE64GYH,0.5168321600968785
54,106.0,[669.4887084960938 577.7544555664062 1113.3009033203125 1025.1683349609375],[146.08163452148438 212.8182830810547 295.7799987792969 261.4295654296875],0.7665765285491943,KE64GYI,0.3659701587647635
55,106.0,[669.6618041992188 577.7596435546875 1113.3585205078125 1025.107666015625],[145.9254913330078 212.66043090820312 295.7767333984375 262.14556884765625],0.7675797939300537,KE64GYH,0.2750598789053375
56,106.0,[669.6240234375 577.972412109375 1113.333251953125 1025.0723876953125],[146.02345275878906 212.6803741455078 295.64202880859375 262.4518127441406],0.7699112892150879,KE64GYM,0.5510457436607424
59,106.0,[669.5453491210938 577.9298095703125 1113.3746337890625 1024.68896484375],[144.330078125 212.19940185546875 297.0393981933594 260.3959655761719],0.7770453095436096,KE64GYH,0.7416117494439673
60,106.0,[669.6586303710938 577.831787109375 1113.1949462890625 1024.288818359375],[144.25840759277344 212.22557067871094 296.8931884765625 260.24578857421875],0.7727205753326416,KE64GYW,0.5144260191975627
61,106.0,[670.0213623046875 577.3463745117188 1113.4962158203125 1024.62158203125],[144.41883850097656 213.24688720703125 294.8766174316406 261.55438232421875],0.7757455706596375,KE64GYH,0.7752279550509069
62,106.0,[670.1785278320312 577.2059326171875 1113.664306640625 1024.9915771484375],[144.36265563964844 213.19979858398438 295.0209655761719 261.4638671875],0.7739728689193726,KE64GYH,0.7040453203866716
63,106.0,[670.2030639648438 577.1549682617188 1113.7322998046875 1025.1319580078125],[144.75230407714844 213.90396118164062 294.98175048828125 261.322021484375],0.772409200668335,KE64GYH,0.7017809306121991
64,106.0,[670.1876220703125 577.2167358398438 1113.7127685546875 1024.977294921875],[144.19366455078125 213.34495544433594 294.9373779296875 261.3676452636719],0.7737793326377869,KE64GYH,0.3988491388649303
65,106.0,[670.1433715820312 577.2296752929688 1113.8541259765625 1024.9984130859375],[144.09335327148438 213.4374542236328 295.0442810058594 261.56304931640625],0.7740345001220703,KE64GYA,0.35212847493188
66,106.0,[670.111328125 577.184326171875 1113.9705810546875 1024.9876708984375],[144.09814453125 213.4509735107422 295.0550231933594 261.5580749511719],0.7742348909378052,KE64GYH,0.4209565418894358
67,106.0,[670.0753173828125 577.1670532226562 1114.0218505859375 1024.7943115234375],[144.55081176757812 213.2666778564453 295.2607116699219 261.6020202636719],0.7792524099349976,KE64GYH,0.20776238374003336
68,106.0,[670.0838623046875 577.3174438476562 1113.9453125 1024.588623046875],[144.1967010498047 213.32760620117188 295.08673095703125 261.54791259765625],0.7747270464897156,KE64GYQ,0.37914327829361466
69,106.0,[670.0089721679688 577.4647216796875 1113.9599609375 1024.732177734375],[144.22421264648438 213.3115234375 295.0260925292969 261.45733642578125],0.7752072215080261,KE64GYQ,0.5063525917955014
70,106.0,[670.0743408203125 577.4581909179688 1114.035400390625 1024.85791015625],[144.4119873046875 213.28846740722656 294.9954528808594 261.696533203125],0.7833147644996643,KE64GYQ,0.5031155058894606
71,106.0,[670.0645751953125 577.4735107421875 1113.9163818359375 1024.751220703125],[144.0818328857422 213.33859252929688 294.77276611328125 261.5344543457031],0.7776533961296082,KE64GYQ,0.5282584971489649
73,106.0,[670.1914672851562 577.6242065429688 1113.9334716796875 1025.2572021484375],[144.19300842285156 214.031494140625 294.8832702636719 261.70001220703125],0.7757188677787781,KE64GYH,0.9387693279382431
74,106.0,[670.2485961914062 577.6830444335938 1113.9923095703125 1025.3565673828125],[144.21319580078125 214.08399963378906 294.87921142578125 261.6790466308594],0.7754828929901123,KE64GYH,0.8946155452749907
78,106.0,[670.3195190429688 577.6356811523438 1114.32177734375 1025.526611328125],[143.96395874023438 213.9092559814453 294.9021301269531 262.42431640625],0.7801992297172546,KE64GYM,0.450832069462252
80,106.0,[670.2669677734375 577.591064453125 1113.8175048828125 1024.9891357421875],[143.97872924804688 213.05690002441406 294.6766052246094 261.6797790527344],0.7771860361099243,KE64GYN,0.6316329803503317
81,106.0,[670.26513671875 577.6954345703125 1113.673828125 1024.842041015625],[143.98233032226562 213.05673217773438 294.6650085449219 261.6706848144531],0.7770079970359802,KE64GYN,0.6316329803503317
82,106.0,[670.1908569335938 577.6686401367188 1113.704345703125 1025.053466796875],[144.54847717285156 213.2917938232422 294.98162841796875 261.5242919921875],0.7732616066932678,KE64GYN,0.715933371360818
83,106.0,[670.0325317382812 577.6893920898438 1113.35009765625 1024.97119140625],[143.66468811035156 213.0249786376953 294.7786865234375 261.6286315917969],0.77524334192276,KE64GYM,0.6033076815400507
84,106.0,[669.943359375 577.5724487304688 1112.9830322265625 1025.012939453125],[145.69297790527344 211.73348999023438 295.9058532714844 261.4878845214844],0.7587552070617676,KE64GYM,0.307366091313084
85,106.0,[670.5634765625 577.0286865234375 1112.90087890625 1024.6019287109375],[143.2826690673828 210.5922088623047 295.7855529785156 259.82421875],0.7614430785179138,KE64GYN,0.44480980493152594
86,106.0,[670.8912963867188 577.0794067382812 1112.814208984375 1024.7640380859375],[144.1993408203125 211.57058715820312 294.71893310546875 261.2459716796875],0.7645553946495056,KE64GYN,0.4660995758187415
87,106.0,[670.9116821289062 577.17724609375 1112.805908203125 1024.649658203125],[144.23609924316406 211.5534210205078 294.6818542480469 261.21136474609375],0.7637938857078552,KE64GYN,0.48416586235573245
88,106.0,[670.8497314453125 576.8972778320312 1112.7362060546875 1024.58544921875],[144.26109313964844 213.05958557128906 294.3263244628906 261.4990539550781],0.7688245177268982,KE64GYN,0.7676975218167035
89,106.0,[670.9315795898438 576.5332641601562 1112.9124755859375 1024.48095703125],[144.041015625 212.5950927734375 294.4318542480469 261.4347839355469],0.7667849063873291,KE64GYH,0.2285562409370506
91,106.0,[670.9526977539062 576.4450073242188 1113.0830078125 1024.56298828125],[144.0765380859375 213.3052520751953 294.74493408203125 260.80426025390625],0.7715813517570496,KE64GYH,0.8645050632399685
